feature,importance_mean,importance_std
tenure_months,0.11870494020901697,0.00724903697196476
csat_score,0.08998749954860025,0.012603029863524578
monthly_logins,0.049250130924316515,0.011557601235812119
payment_failures,0.03437010062489889,0.010751191727480822
avg_session_time,0.007504504307503867,0.004487886296623429
usage_growth_rate,0.003369853212971158,0.0022733687130276135
email_open_rate,0.0028493414435723174,0.0024884876018242807
last_login_days_ago,0.0009975417305702005,0.003638637182195814
country,0.0003046576966586445,0.00010826373496560638
customer_segment,0.00016131265602726264,0.00021063470530219278
payment_method,0.0,0.0
signup_channel,0.0,0.0
gender,0.0,0.0
contract_type,0.0,0.0
referral_count,0.0,0.0
survey_response,0.0,0.0
price_increase_last_3m,0.0,0.0
discount_applied,0.0,0.0
escalations,0.0,0.0
complaint_type,0.0,0.0
support_tickets,-7.715919911371327e-05,0.00019830649472381013
nps_score,-0.0004114817955228445,0.0030748313123689195
weekly_active_days,-0.0006027219492170278,0.00115420408392393
age,-0.0011124078731331033,0.002954930076812665
monthly_fee,-0.0011647166915581876,0.0014751869957594964
total_revenue,-0.0012300376758231702,0.004531465107482453
features_used,-0.0012914664515759067,0.0006596496395574148
city,-0.0014181030870725863,0.001111894331720559
marketing_click_rate,-0.0038931176037618254,0.0014441011053055817
avg_resolution_time,-0.004134535788205595,0.0019249230689550108
