feature,importance_mean,importance_std
monthly_fee,1.3388992618388964,0.04872271550146039
tenure_months,0.915425326642991,0.025018124163250853
last_login_days_ago,8.201652715866813e-08,6.804856295127068e-08
email_open_rate,5.940049779828982e-08,8.290625180435572e-08
payment_failures,5.7773880446365664e-08,4.331904822266376e-08
nps_score,4.188274058680719e-08,1.4000161346747864e-08
payment_method,2.6519964491100723e-08,4.647820370348837e-08
weekly_active_days,2.0764575592302493e-08,3.386866636543693e-08
referral_count,1.9833260667123652e-08,3.230584735269532e-08
usage_growth_rate,1.8295041892546492e-08,3.700327728411104e-08
csat_score,1.7692121800916284e-08,6.200603007743481e-09
discount_applied,1.3577328472624828e-08,6.00187422396301e-08
country,8.573195320327187e-09,2.0209547658878863e-08
contract_type,-5.120048185425219e-09,2.514332187330762e-08
escalations,-9.197533912264077e-09,1.1860764094500454e-08
gender,-1.0564498709175752e-08,1.8848394454462876e-08
city,-1.3093335571312537e-08,1.3039369109552214e-07
avg_session_time,-1.3849345503746946e-08,3.53882300150463e-08
features_used,-1.548133706785748e-08,2.5932049522588418e-08
complaint_type,-2.2247854936097156e-08,2.143965830408648e-08
avg_resolution_time,-2.2485716899556252e-08,8.717969459204262e-08
support_tickets,-2.555461018349803e-08,4.0446123940754555e-08
customer_segment,-3.611365054778659e-08,3.284871666784452e-08
price_increase_last_3m,-4.549911294393638e-08,1.5758853051607744e-08
monthly_logins,-7.250997665630977e-08,4.324831891622428e-08
survey_response,-7.555389427427173e-08,5.8338273826843335e-08
age,-9.773463550688533e-08,8.936878583524902e-08
marketing_click_rate,-1.1318545877214703e-07,7.485687392459436e-08
signup_channel,-2.0540009644243183e-07,1.3349718590109943e-07
