feature,importance_mean,importance_std
country,0.0021392091648489986,0.001431216023124007
total_revenue,0.000641204701063991,0.0004506733794321045
survey_response,0.00046379589824459,0.0003187595992648211
gender,0.0004532593282555064,0.0002702049090490743
complaint_type,0.00044919973109796006,0.0009832215239026555
payment_method,0.0003725138917151094,0.0004229417340230514
payment_failures,0.0002515594695483347,0.0002918490064510174
age,0.00017329527035248038,7.121461988890297e-05
discount_applied,0.00017117471509935366,0.00012206627408199041
monthly_fee,5.683210223337287e-05,5.133766753361523e-05
referral_count,5.372369654235154e-05,0.0005522134560364844
nps_score,3.2088840010602304e-05,1.6319013635130386e-05
escalations,2.641088654464774e-06,0.00022237552896313276
tenure_months,-2.7971554035177704e-05,0.0011290580486365866
email_open_rate,-0.00012483153289808425,0.0003874751726116967
marketing_click_rate,-0.00014000283481563347,0.00016248619289862938
contract_type,-0.0002037545577501021,0.0009334055071619609
signup_channel,-0.0003226923965378603,0.0003951042989834455
avg_resolution_time,-0.0003301218552910656,0.00015136699584940936
csat_score,-0.0003901319580342566,0.0002081594487888554
support_tickets,-0.00048674665677737037,0.00024676592402178495
price_increase_last_3m,-0.0005332383933780216,0.0005987771521307389
city,-0.0007806477177271897,0.00046390669129444485
customer_segment,-0.0021330248507979823,0.0007315619344893077
