feature,importance_mean,importance_std
monthly_fee,1.1118821281139302,0.04414362731934585
csat_score,0.5253902228637701,0.02686470477322177
tenure_months,0.2511319076840256,0.022548693873534708
monthly_logins,0.23667597058143222,0.011949424430045524
payment_failures,0.2159150889598891,0.015358362207127546
last_login_days_ago,0.014052037515894211,0.0012611644787756556
avg_session_time,0.0071378187189185425,0.0014503739110072599
avg_resolution_time,0.005665577971288549,0.0016674515347164347
total_revenue,0.001825579045806669,0.0013702205825246313
email_open_rate,0.0015289527336837083,0.0007549128821441913
marketing_click_rate,0.001371151971279605,0.0005987268179840969
nps_score,0.0011539031425486402,0.00036261853948697944
usage_growth_rate,0.0011200803146648286,0.0009519710075798532
country,0.0006693097271923687,0.0004986618694821385
weekly_active_days,0.0006185399770036737,0.000333336348100281
support_tickets,0.00048794677442381973,0.000218216149188213
survey_response,0.000477514509847321,0.00019731979538666747
gender,0.000424351680498658,0.0001548893707223565
features_used,0.0003822957474919897,0.0002761996472655912
city,0.0003521899553073582,0.00029212344624080113
discount_applied,0.0001462349266504903,8.938438839115353e-05
age,0.0001367772536473577,0.00022522517871281518
escalations,0.00011299115225852364,7.112382870023944e-05
price_increase_last_3m,9.365429350347566e-05,4.0392067602275756e-05
complaint_type,1.6670803711893446e-05,0.0001546213523696862
payment_method,-4.1419047415602875e-05,0.0001506753819111565
referral_count,-9.429615738869579e-05,9.957007653867444e-05
signup_channel,-0.00022063588713736593,0.00019443924190005652
customer_segment,-0.0005114919631565518,0.00031908069890941885
contract_type,-0.0019908907775389893,0.0007181240132973256
