customer_id,customer_segment,contract_type,monthly_fee,total_revenue,support_tickets,payment_failures,nps_score,churn,churn_probability,predicted_churn,expected_monthly_loss,expected_revenue_at_risk
CUST_00001,SME,Monthly,30,660,4,1,27,0,0.2894563407953597,0,8.683690223860792,191.0411849249374
CUST_00002,Individual,Monthly,30,270,1,1,-19,1,0.6884257420019921,1,20.652772260059763,185.87495034053788
CUST_00003,SME,Yearly,20,1160,1,2,80,0,0.5559998449069653,0,11.119996898139306,644.9598200920798
CUST_00004,Individual,Yearly,30,570,3,0,100,0,0.2894563407953597,0,8.683690223860792,164.99011425335502
CUST_00005,Individual,Monthly,50,2600,0,0,21,0,0.2894563407953597,0,14.472817039767985,752.5864860679352
CUST_00006,Individual,Monthly,50,2700,0,0,-40,0,0.5846997634490212,0,29.23498817245106,1578.6893613123573
CUST_00007,SME,Monthly,20,1080,1,0,-3,0,0.2894563407953597,0,5.789126815907194,312.6128480589885
CUST_00008,Individual,Yearly,20,140,2,0,28,0,0.2894563407953597,0,5.789126815907194,40.523887711350355
CUST_00009,SME,Monthly,30,450,1,0,-24,0,0.5969503243328204,0,17.908509729984612,268.62764594976915
CUST_00010,Individual,Monthly,30,510,1,0,17,0,0.2894563407953597,0,8.683690223860792,147.62273380563346
CUST_00011,Individual,Yearly,30,1380,2,1,18,0,0.2894563407953597,0,8.683690223860792,399.4497502975964
CUST_00012,Enterprise,Monthly,20,280,2,0,77,0,0.2894563407953597,0,5.789126815907194,81.04777542270071
CUST_00013,Individual,Monthly,50,2050,1,1,19,0,0.6571826123211331,0,32.85913061605665,1347.2243552583227
CUST_00014,Individual,Monthly,30,1440,1,1,-16,0,0.2894563407953597,0,8.683690223860792,416.81713074531797
CUST_00015,Individual,Yearly,30,60,2,2,55,0,0.7317238217076826,1,21.95171465123048,43.90342930246096
CUST_00016,Enterprise,Monthly,20,280,0,1,-30,0,0.2894563407953597,0,5.789126815907194,81.04777542270071
CUST_00017,Individual,Monthly,30,120,1,0,3,1,0.762631751116342,1,22.87895253349026,91.51581013396104
CUST_00018,Individual,Yearly,70,210,2,1,60,0,0.6723905482505216,1,47.06733837753651,141.20201513260955
CUST_00019,Individual,Yearly,30,90,1,0,23,0,0.5645876728647021,0,16.937630185941064,50.812890557823195
CUST_00020,Individual,Monthly,10,110,4,0,61,0,0.2894563407953597,0,2.894563407953597,31.84019748748957
CUST_00021,Individual,Quarterly,30,150,0,1,-12,0,0.6601796061245251,0,19.80538818373575,99.02694091867876
CUST_00022,SME,Monthly,10,480,0,2,25,0,0.5892368636146573,0,5.892368636146573,282.83369453503553
CUST_00023,SME,Quarterly,70,3850,2,0,22,0,0.2894563407953597,0,20.261943855675177,1114.4069120621348
CUST_00024,Individual,Monthly,30,870,0,1,18,0,0.2894563407953597,0,8.683690223860792,251.82701649196295
CUST_00025,SME,Monthly,50,1400,1,1,-3,0,0.5993042411759889,0,29.965212058799445,839.0259376463845
CUST_00026,SME,Quarterly,10,230,3,1,44,0,0.5993002702666944,0,5.993002702666944,137.8390621613397
CUST_00027,Enterprise,Quarterly,20,600,3,1,4,0,0.6556011607540545,0,13.11202321508109,393.3606964524327
CUST_00028,Individual,Monthly,30,690,0,0,68,0,0.2894563407953597,0,8.683690223860792,199.7248751487982
CUST_00029,Individual,Monthly,10,510,0,1,34,0,0.2894563407953597,0,2.894563407953597,147.62273380563346
CUST_00030,SME,Yearly,10,410,1,0,38,0,0.2894563407953597,0,2.894563407953597,118.67709972609748
CUST_00031,Individual,Monthly,70,1540,1,0,-65,0,0.2894563407953597,0,20.261943855675177,445.76276482485395
CUST_00032,Individual,Quarterly,10,430,1,1,1,0,0.5910613411636292,0,5.910613411636292,254.15637670036054
CUST_00033,SME,Monthly,30,360,1,0,-25,0,0.2894563407953597,0,8.683690223860792,104.20428268632949
CUST_00034,Individual,Quarterly,70,1890,1,2,-36,0,0.5719854234853986,0,40.0389796439779,1081.0524503874033
CUST_00035,Individual,Monthly,10,580,1,0,59,0,0.6716206568876627,1,6.716206568876627,389.53998099484437
CUST_00036,Individual,Monthly,70,4130,0,1,74,0,0.2894563407953597,0,20.261943855675177,1195.4546874848356
CUST_00037,SME,Quarterly,20,800,1,2,28,1,0.7075586456050019,1,14.151172912100039,566.0469164840015
CUST_00038,Individual,Monthly,70,3220,2,1,-12,0,0.2894563407953597,0,20.261943855675177,932.0494173610582
CUST_00039,SME,Quarterly,30,1470,1,0,-51,0,0.2894563407953597,0,8.683690223860792,425.50082096917873
CUST_00040,SME,Monthly,10,520,1,1,30,0,0.6716206568876627,1,6.716206568876627,349.2427415815846
CUST_00041,Individual,Monthly,30,450,0,0,15,0,0.2894563407953597,0,8.683690223860792,130.25535335791187
CUST_00042,Individual,Quarterly,30,1410,0,1,55,0,0.2894563407953597,0,8.683690223860792,408.1334405214572
CUST_00043,Individual,Monthly,30,690,2,0,-5,0,0.6009868682818613,0,18.02960604845584,414.6809391144843
CUST_00044,SME,Monthly,50,2200,2,0,-17,0,0.2894563407953597,0,14.472817039767985,636.8039497497913
CUST_00045,Individual,Monthly,100,4100,0,0,9,0,0.2933757121209954,0,29.33757121209954,1202.8404196960812
CUST_00046,Enterprise,Monthly,20,880,1,1,17,0,0.2894563407953597,0,5.789126815907194,254.72157989991655
CUST_00047,Individual,Monthly,30,570,2,1,87,0,0.2894563407953597,0,8.683690223860792,164.99011425335502
CUST_00048,Individual,Monthly,10,440,0,1,17,0,0.2894563407953597,0,2.894563407953597,127.36078994995827
CUST_00049,Individual,Monthly,30,330,1,2,-44,1,0.7223896722321647,1,21.67169016696494,238.38859183661432
CUST_00050,SME,Yearly,100,3800,2,1,47,0,0.2894563407953597,0,28.94563407953597,1099.9340950223668
CUST_00051,Individual,Monthly,20,800,0,1,-11,0,0.2894563407953597,0,5.789126815907194,231.56507263628777
CUST_00052,Individual,Yearly,50,2150,2,0,52,0,0.2933757121209954,0,14.66878560604977,630.7577810601401
CUST_00053,SME,Yearly,20,60,1,0,36,0,0.6665340025992448,1,13.330680051984896,39.99204015595468
CUST_00054,Individual,Monthly,100,1600,0,0,-22,0,0.2894563407953597,0,28.94563407953597,463.13014527257553
CUST_00055,Individual,Monthly,20,640,1,3,-3,0,0.545654748383049,0,10.913094967660978,349.2190389651513
CUST_00056,SME,Monthly,50,1900,1,1,-61,0,0.5993002702666944,0,29.96501351333472,1138.6705135067193
CUST_00057,SME,Quarterly,50,450,2,0,60,0,0.2894563407953597,0,14.472817039767985,130.25535335791187
CUST_00058,Individual,Quarterly,10,410,2,0,28,0,0.2894563407953597,0,2.894563407953597,118.67709972609748
CUST_00059,Individual,Quarterly,50,1900,1,2,29,0,0.7058531079801104,1,35.29265539900552,1341.1209051622097
CUST_00060,SME,Quarterly,50,250,1,0,59,0,0.4779629292642309,0,23.898146463211546,119.49073231605773
CUST_00061,Individual,Monthly,10,10,2,1,-33,0,0.663712835435685,1,6.63712835435685,6.63712835435685
